Day,randomization.probability.control,randomization.probability.intervention1,randomization.probability.intervention2,randomization.probability.intervention3,randomization.probability.intervention3
1,0.25,0.25,0.25,0.25,0
2,0.25,0.25,0.25,0.25,0
3,0.25,0.25,0.25,0.25,0
4,0.25,0.25,0.25,0.25,0
5,0.25,0.25,0.25,0.25,0
6,0.25,0.25,0.25,0.25,0
7,0.25,0.25,0.25,0.25,0
8,0.25,0.25,0.25,0.25,0
9,0.25,0.25,0.25,0.25,0
10,0.25,0.25,0.25,0.25,0
11,0.25,0.25,0.25,0.25,0
12,0.25,0.25,0.25,0.25,0
13,0.25,0.25,0.25,0.25,0
14,0.25,0.25,0.25,0.25,0
15,0.25,0.25,0.25,0.25,0
16,0.25,0.25,0.25,0.25,0
17,0.25,0.25,0.25,0.25,0
18,0.25,0.25,0.25,0.25,0
19,0.25,0.25,0.25,0.25,0
20,0.25,0.25,0.25,0.25,0
21,0.25,0.25,0.25,0.25,0
22,0.25,0.25,0.25,0.25,0
23,0.25,0.25,0.25,0.25,0
24,0.25,0.25,0.25,0.25,0
25,0.25,0.25,0.25,0.25,0
26,0.25,0.25,0.25,0.25,0
27,0.25,0.25,0.25,0.25,0
28,0.25,0.25,0.25,0.25,0
29,0.25,0.25,0.25,0.25,0
30,0.25,0.25,0.25,0.25,0
31,0.25,0.25,0.25,0.25,0
32,0.25,0.25,0.25,0.25,0
33,0.25,0.25,0.25,0.25,0
34,0.25,0.25,0.25,0.25,0
35,0.25,0.25,0.25,0.25,0
36,0.25,0.25,0.25,0.25,0
37,0.25,0.25,0.25,0.25,0
38,0.25,0.25,0.25,0.25,0
39,0.25,0.25,0.25,0.25,0
40,0.25,0.25,0.25,0.25,0
41,0.25,0.25,0.25,0.25,0
42,0.25,0.25,0.25,0.25,0
43,0.25,0.25,0.25,0.25,0
44,0.25,0.25,0.25,0.25,0
45,0.25,0.25,0.25,0.25,0
46,0.25,0.25,0.25,0.25,0
47,0.25,0.25,0.25,0.25,0
48,0.25,0.25,0.25,0.25,0
49,0.25,0.25,0.25,0.25,0
50,0.25,0.25,0.25,0.25,0
51,0.25,0.25,0.25,0.25,0
52,0.25,0.25,0.25,0.25,0
53,0.25,0.25,0.25,0.25,0
54,0.25,0.25,0.25,0.25,0
55,0.25,0.25,0.25,0.25,0
56,0.25,0.25,0.25,0.25,0
57,0.25,0.25,0.25,0.25,0
58,0.25,0.25,0.25,0.25,0
59,0.25,0.25,0.25,0.25,0
60,0.25,0.25,0.25,0.25,0
61,0.25,0.25,0.25,0.25,0
62,0.25,0.25,0.25,0.25,0
63,0.25,0.25,0.25,0.25,0
64,0.25,0.25,0.25,0.25,0
65,0.25,0.25,0.25,0.25,0
66,0.25,0.25,0.25,0.25,0
67,0.25,0.25,0.25,0.25,0
68,0.25,0.25,0.25,0.25,0
69,0.25,0.25,0.25,0.25,0
70,0.25,0.25,0.25,0.25,0
71,0.25,0.25,0.25,0.25,0
72,0.25,0.25,0.25,0.25,0
73,0.25,0.25,0.25,0.25,0
74,0.25,0.25,0.25,0.25,0
75,0.25,0.25,0.25,0.25,0
76,0.25,0.25,0.25,0.25,0
77,0.25,0.25,0.25,0.25,0
78,0.25,0.25,0.25,0.25,0
79,0.25,0.25,0.25,0.25,0
80,0.25,0.25,0.25,0.25,0
81,0.25,0.25,0.25,0.25,0
82,0.25,0.25,0.25,0.25,0
83,0.25,0.25,0.25,0.25,0
84,0.25,0.25,0.25,0.25,0
85,0.25,0.25,0.25,0.25,0
86,0.25,0.25,0.25,0.25,0
87,0.25,0.25,0.25,0.25,0
88,0.25,0.25,0.25,0.25,0
89,0.25,0.25,0.25,0.25,0
90,0.25,0.25,0.25,0.25,0
91,0.2,0.2,0.2,0.2,0.2
92,0.2,0.2,0.2,0.2,0.2
93,0.2,0.2,0.2,0.2,0.2
94,0.2,0.2,0.2,0.2,0.2
95,0.2,0.2,0.2,0.2,0.2
96,0.2,0.2,0.2,0.2,0.2
97,0.2,0.2,0.2,0.2,0.2
98,0.2,0.2,0.2,0.2,0.2
99,0.2,0.2,0.2,0.2,0.2
100,0.2,0.2,0.2,0.2,0.2
101,0.2,0.2,0.2,0.2,0.2
102,0.2,0.2,0.2,0.2,0.2
103,0.2,0.2,0.2,0.2,0.2
104,0.2,0.2,0.2,0.2,0.2
105,0.2,0.2,0.2,0.2,0.2
106,0.2,0.2,0.2,0.2,0.2
107,0.2,0.2,0.2,0.2,0.2
108,0.2,0.2,0.2,0.2,0.2
109,0.2,0.2,0.2,0.2,0.2
110,0.2,0.2,0.2,0.2,0.2
111,0.2,0.2,0.2,0.2,0.2
112,0.2,0.2,0.2,0.2,0.2
113,0.2,0.2,0.2,0.2,0.2
114,0.2,0.2,0.2,0.2,0.2
115,0.2,0.2,0.2,0.2,0.2
116,0.2,0.2,0.2,0.2,0.2
117,0.2,0.2,0.2,0.2,0.2
118,0.2,0.2,0.2,0.2,0.2
119,0.2,0.2,0.2,0.2,0.2
120,0.2,0.2,0.2,0.2,0.2
121,0.2,0.2,0.2,0.2,0.2
122,0.2,0.2,0.2,0.2,0.2
123,0.2,0.2,0.2,0.2,0.2
124,0.2,0.2,0.2,0.2,0.2
125,0.2,0.2,0.2,0.2,0.2
126,0.2,0.2,0.2,0.2,0.2
127,0.2,0.2,0.2,0.2,0.2
128,0.2,0.2,0.2,0.2,0.2
129,0.2,0.2,0.2,0.2,0.2
130,0.2,0.2,0.2,0.2,0.2
131,0.2,0.2,0.2,0.2,0.2
132,0.2,0.2,0.2,0.2,0.2
133,0.2,0.2,0.2,0.2,0.2
134,0.2,0.2,0.2,0.2,0.2
135,0.2,0.2,0.2,0.2,0.2
136,0.2,0.2,0.2,0.2,0.2
137,0.2,0.2,0.2,0.2,0.2
138,0.2,0.2,0.2,0.2,0.2
139,0.2,0.2,0.2,0.2,0.2
140,0.2,0.2,0.2,0.2,0.2
141,0.2,0.2,0.2,0.2,0.2
142,0.2,0.2,0.2,0.2,0.2
143,0.2,0.2,0.2,0.2,0.2
144,0.2,0.2,0.2,0.2,0.2
145,0.2,0.2,0.2,0.2,0.2
146,0.2,0.2,0.2,0.2,0.2
147,0.2,0.2,0.2,0.2,0.2
148,0.2,0.2,0.2,0.2,0.2
149,0.2,0.2,0.2,0.2,0.2
150,0.2,0.2,0.2,0.2,0.2
151,0.2,0.2,0.2,0.2,0.2
152,0.2,0.2,0.2,0.2,0.2
153,0.2,0.2,0.2,0.2,0.2
154,0.2,0.2,0.2,0.2,0.2
155,0.2,0.2,0.2,0.2,0.2
156,0.2,0.2,0.2,0.2,0.2
157,0.2,0.2,0.2,0.2,0.2
158,0.2,0.2,0.2,0.2,0.2
159,0.2,0.2,0.2,0.2,0.2
160,0.2,0.2,0.2,0.2,0.2
161,0.2,0.2,0.2,0.2,0.2
162,0.2,0.2,0.2,0.2,0.2
163,0.2,0.2,0.2,0.2,0.2
164,0.2,0.2,0.2,0.2,0.2
165,0.2,0.2,0.2,0.2,0.2
166,0.2,0.2,0.2,0.2,0.2
167,0.2,0.2,0.2,0.2,0.2
168,0.2,0.2,0.2,0.2,0.2
169,0.2,0.2,0.2,0.2,0.2
170,0.2,0.2,0.2,0.2,0.2
171,0.2,0.2,0.2,0.2,0.2
172,0.2,0.2,0.2,0.2,0.2
173,0.2,0.2,0.2,0.2,0.2
174,0.2,0.2,0.2,0.2,0.2
175,0.2,0.2,0.2,0.2,0.2
176,0.2,0.2,0.2,0.2,0.2
177,0.2,0.2,0.2,0.2,0.2
178,0.2,0.2,0.2,0.2,0.2
179,0.2,0.2,0.2,0.2,0.2
180,0.2,0.2,0.2,0.2,0.2